Participant,attention_allocation,walking_speed_ratio,reading_speed_ratio
1,0.151079137,0.466101695,0.880410655
1,0.133802817,0.447154472,1.057773109
1,0.15037594,0.486725664,1.04094579
2,0.166666667,0.571428571,0.858212379
2,0.161016949,0.54166667,0.884313726
2,0.157407407,0.571428571,0.932114467
3,0.119266055,0.520833333,0.752051866
3,0.103773585,0.52631579,1.209038606
3,0.168067227,0.505050505,1.014701558
4,0.101123596,0.34375,1.108183647
4,0.074074074,0.44,1.248241793
4,0.13559322,0.48245614,1.073275862
5,0.125,0.455357143,1.035294118
5,0.122302158,0.418032787,0.797841338
5,0.115942029,0.418032787,0.974117647
6,0.213114754,0.541666667,0.867216643
6,0.142857143,0.509803922,0.98918188
6,0.12295082,0.485981308,0.896732026
7,0.108433735,0.756756757,1.091285067
7,0.088888889,0.68292683,0.96148502
8,0.181034483,0.536842105,0.895019874
8,0.117647059,0.485714286,0.813816519
8,0.09009009,0.504950495,0.986804063
9,0.110576923,0.378378378,0.905849119
9,0.137440758,0.384615385,0.900408025
9,0.135514019,0.378378378,0.883596639
10,0.131147541,0.754716981,1.036312849
10,0.114285714,0.64516129,1.142512871
11,0.134615385,0.655555556,0.833397107
11,0.155339806,0.67816092,0.909816441
11,0.150943396,0.655555556,0.933758979
12,0.145833333,0.488636364,1.107351269
12,0.12244898,0.457446809,1.042843233
12,0.088235294,0.483146674,1.11121637
